VIN,GRADE,STOCKNUMBER,MAKE,MODEL,SERIES,YEAR,PRICE,BODY,CYLINDERS,DISPLACEMENT,EXTERIOR,INTERIOR,MILEAGE,TRANSMISSION,UPHOLSTERY,ENDDATE,ABGLOCATION,BUYDATE,BUYERNAME,WATCHEDBY,DEALERSHIPNAME,DRIVE TRAIN,CONDITION REPORT,SALES REP
5XXGT4L3XKG275766,3.6,,Kia,Optima,Lx,2019,13400,Sedan,4,2.4l,Silver,Black,43929,6-speed A/t,Cloth,2020-02-28T19:30:00.000Z,Phoenix- AZ,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEzUwzoP6cBpu79nIM2sL9j40BfTR1zPSv1gocD6RanLVfXQYH7ahXjRm%2fO507sIcJOiEreoPlAX9%2bKnScL2NLuMx%2b0sW1Jks2qXqcbNLLwug%3d%3d,
5XXGT4L34KG309345,4.2,,Kia,Optima,Lx,2019,13700,Sedan,4,2.4l,Silver,Black,32716,6-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Jacksonville- FL,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFB5GgutRWZLDqZyFbXTMnwfJ0aYj9tTb5Io4uQ8uA5wbHbMVDTQjpfM4TdhZfH%2baJcnEA%2bhtUmEnzbO%2faSCad2sh%2fxppJ6g1URTvPy9V1lkQ%3d%3d,
5XYPG4A56KG463656,4.5,,Kia,Sorento,Lx V6,2019,16800,Suv,6,3.3l,Maroon,Black,47157,8-speed A/t,Leatherette,2020-02-27T19:30:00.000Z,Phoenix- AZ,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEVZ3pOkN7ZxBDzNP7WiAybxpQcbSjsSKEwR0CqccPJ%2fga%2f6uXRsoMmu%2fOpOADy2TlUkU8jVB7x5gKKUswMmpi2vdeBS8%2bc%2f7tfqottZf3dfw%3d%3d,
5XYPG4A53KG447270,4.5,,Kia,Sorento,Lx,2019,16600,Suv,6,3.3l,Silver,Black,43169,8-speed A/t,Cloth,2020-02-28T19:30:00.000Z,Denver- CO,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGPNVnOPHT6%2fWowjzL1zriuSj%2fjHLvpOxeimubMxwI6JApFwcRm8dlgdYthPBk%2bQXvQe64ax0du0NiH6cxXe6DrLRt%2fgC2G1jtLRbbOKnSD9Q%3d%3d,
5XXGT4L33KG298399,4.1,,Kia,Optima,Lx,2019,13700,Sedan,4,2.4l,White,Black,37137,6-speed A/t,Cloth,2020-02-26T19:30:00.000Z,Seattle- WA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGHISIvAYK%2bZBX9UWusK5SQ478A3hXwAwRKcGM3iTSSbQual0zOEXyrKiCfxZ8sLPMU%2bDCCOLSu03GB65iudBRPlqCRX9hYvS1TtE4%2faRU%2bpw%3d%3d,
5XXGT4L3XKG278408,4.5,,Kia,Optima,Lx,2019,14100,Sedan,4,2.4l,White,Black,31044,6-speed A/t,Cloth,2020-02-27T19:30:00.000Z,Dayton- OH,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToF7JQWV4meRu1yWZHXAnJYAElbhOBPRDHssuWYucCi2Gl%2bG0C4xeBs2o%2fFNFRuh95qw6zJEw0IWWi4YItfuM0883zzk4LWERKJ3j9I6Rx822Q%3d%3d,
5XXGT4L37KG301921,4.5,,Kia,Optima,Lx,2019,13800,Sedan,4,2.4l,Silver,Black,39046,6-speed A/t,Cloth,2020-02-25T19:30:00.000Z,Memphis- TN,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFwJVFqSHHErTQWNQo9wCzLZaPAEDdsfay49hjVBggp6TqL2QP5X%2bkhe8yZNFJQBxSXHNVkjPe%2fVt3s2jWOeNYLQg3bmxDDbPmxkP3gcf0Mmg%3d%3d,
3KPF24AD9KE039337,3.7,,Kia,Forte,Lxs,2019,12400,Sedan,4,2.0l,Silver,Black,30245,A/t,Cloth,2020-02-26T19:30:00.000Z,Buffalo- NY,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHA3IvTtmYmUs5LSKYzMMw6GWF26wMytIba%2fjfrsGHgT0cePDmtgPDu%2f0N%2fH5AwuECCf0M44WMYFrJAJdzKTsFp2nz2vR7KFOVrGjTS%2fCWK4g%3d%3d,
5XXGT4L3XKG274973,4.6,,Kia,Optima,Lx,2019,13700,Sedan,4,2.4l,Black,Black,41569,6-speed A/t,Cloth,2020-02-25T19:30:00.000Z,Albuquerque- NM,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToF299ERySJLt%2benOQmFxZZqbMZwE6k1zJ6R9L7xHVKLHIeXkORn6LHanDtCgDwo0HGpYbcp%2bUf5OlB4if5Y53jjopsMh7fqu5uGSFD%2b0kXR2g%3d%3d,
2T1BURHE0HC906555,4.3,,Toyota,Corolla,Le,2017,13000,Sedan,4,1.8l,Silver,Black,23437,A/t,Cloth,2020-02-27T19:30:00.000Z,Detroit- MI,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFdCl%2fIJuzSLU5AbhHqcVRRFBaWQTGMFMldB99H2ytKK%2bEFRyFBRkVnMDZ67N4qKEl2z8LwqT1qNKdY5o6zcnOX4atwvyPB3Ic84fXZKo6WQQ%3d%3d,
